time,q_in,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_h2o,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_va,X_bu,X_pro,X_ac,X_h2,S_cat,S_an,S_va_i,S_bu_i,S_pro_i,S_ac_i,S_hco3_i,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2
0,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,0,0,0,0,0,0,0,0,0,0,0,960.51175,2.655,0.425,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
