time,qsX,variable,value,feed
0,q,q_in,0.207,Maize
10,q,q_in,0.414,Maize
30,q,q_in,0.207,Maize
50,q,q_in,0.1035,Maize
70,q,q_in,0.207,Maize
0,S,S_su,0,Maize
10,S,S_su,0,Maize
30,S,S_su,0,Maize
50,S,S_su,0,Maize
70,S,S_su,0,Maize
0,S,S_aa,0,Maize
10,S,S_aa,0,Maize
30,S,S_aa,0,Maize
50,S,S_aa,0,Maize
70,S,S_aa,0,Maize
0,S,S_fa,0,Maize
10,S,S_fa,0,Maize
30,S,S_fa,0,Maize
50,S,S_fa,0,Maize
70,S,S_fa,0,Maize
0,S,S_va,0.01,Maize
10,S,S_va,0.01,Maize
30,S,S_va,0.01,Maize
50,S,S_va,0.01,Maize
70,S,S_va,0.01,Maize
0,S,S_bu,0.09,Maize
10,S,S_bu,0.09,Maize
30,S,S_bu,0.09,Maize
50,S,S_bu,0.09,Maize
70,S,S_bu,0.09,Maize
0,S,S_pro,0.28,Maize
10,S,S_pro,0.28,Maize
30,S,S_pro,0.28,Maize
50,S,S_pro,0.28,Maize
70,S,S_pro,0.28,Maize
0,S,S_ac,9.98,Maize
10,S,S_ac,9.98,Maize
30,S,S_ac,9.98,Maize
50,S,S_ac,9.98,Maize
70,S,S_ac,9.98,Maize
0,S,S_h2,0,Maize
10,S,S_h2,0,Maize
30,S,S_h2,0,Maize
50,S,S_h2,0,Maize
70,S,S_h2,0,Maize
0,S,S_ch4,0,Maize
10,S,S_ch4,0,Maize
30,S,S_ch4,0,Maize
50,S,S_ch4,0,Maize
70,S,S_ch4,0,Maize
0,S,S_IC,0,Maize
10,S,S_IC,0,Maize
30,S,S_IC,0,Maize
50,S,S_IC,0,Maize
70,S,S_IC,0,Maize
0,S,S_IN,0.764,Maize
10,S,S_IN,0.764,Maize
30,S,S_IN,0.764,Maize
50,S,S_IN,0.764,Maize
70,S,S_IN,0.764,Maize
0,S,S_h2o,568,Maize
10,S,S_h2o,568,Maize
30,S,S_h2o,568,Maize
50,S,S_h2o,568,Maize
70,S,S_h2o,568,Maize
0,X,X_ch,304.535808,Maize
10,X,X_ch,304.535808,Maize
30,X,X_ch,304.535808,Maize
50,X,X_ch,304.535808,Maize
70,X,X_ch,304.535808,Maize
0,X,X_pr,24.192,Maize
10,X,X_pr,24.192,Maize
30,X,X_pr,24.192,Maize
50,X,X_pr,24.192,Maize
70,X,X_pr,24.192,Maize
0,X,X_li,18.144,Maize
10,X,X_li,18.144,Maize
30,X,X_li,18.144,Maize
50,X,X_li,18.144,Maize
70,X,X_li,18.144,Maize
0,X,X_su,0,Maize
10,X,X_su,0,Maize
30,X,X_su,0,Maize
50,X,X_su,0,Maize
70,X,X_su,0,Maize
0,X,X_aa,0,Maize
10,X,X_aa,0,Maize
30,X,X_aa,0,Maize
50,X,X_aa,0,Maize
70,X,X_aa,0,Maize
0,X,X_fa,0,Maize
10,X,X_fa,0,Maize
30,X,X_fa,0,Maize
50,X,X_fa,0,Maize
70,X,X_fa,0,Maize
0,X,X_va,0,Maize
10,X,X_va,0,Maize
30,X,X_va,0,Maize
