"num","G.num","Food.Wastes","Food.Wastes.Clean","Group","pH","TS.Perc","VS.Perc","TOC","TKN","Fat.Perc","Protein.Perc","Carbohydrate.Perc","TP","TK","C.N.Mixture","BMP"
1,"DP.1","Cheese","Cheese","DP",5.93,0.4986,0.4263,29.8,2.9,0.232,0.185,0.583,1.14,0.17,17.38,561
2,"DP.2","Milk","Milk","DP",6.76,0.1096,0.1056,5.39,1.66,0.156,0.334,0.51,1.7,1.1,3.32,231
3,"DP.3","Baby milk","Baby_milk","DP",7.15,0.1138,0.1089,4.41,1.95,0.238,0.1035,0.6585,1.06,1.69,17.3,315
4,"DP.4","Yogurt/yogurt drink","Yogurt_yogurt_drink","DP",4.3,0.309,0.303,12.8,0.91,0.051,0.143,0.806,0.7,0.14,14.06,450
5,"DP.5","Cottage cheese","Cottage_cheese","DP",6.37,0.3956,0.3727,51,1.54,0.195,0.045,0.76,1.09,0.6,17.31,591
6,"DP.6","Butter","Butter","DP",7.23,0.8858,0.8822,74.9,0.51,0.834,0.0327,0.1333,2.3,1.5,17.38,660
7,"FOG.7","Vegetable oil","Vegetable_oil","FOG",3.5,0.754,0.7163,86.1,0.35,1,0,0,0.01,0,48.5,586
8,"FOG.8","Used vegetable oil","Used_vegetable_oil","FOG",3.2,0.991,0.9888,74.63,0.22,1,0,0,0,0.01,26.9,648
9,"FOG.9","FOG from food processing","FOG_from_food_processing","FOG",3.01,0.999,0.9962,70.28,0.69,0.998,0.002,0,0,0,20.15,801
10,"FOG.10","FOG from restaurant","FOG_from_restaurant","FOG",2.98,0.999,0.9975,68.47,0.84,0.999,0.001,0,0,0,19.53,836
11,"FOG.11","Suspended FOG","Suspended_FOG","FOG",3.1,0.2672,0.2297,69.1,0.53,1,0,0,0,0,30.5,402
12,"FOG.12","Settled FOG","Settled_FOG","FOG",4.21,0.1284,0.1126,64.38,1.44,1,0,0,0.05,0.02,33.12,413
13,"IC.13","Ice cream (IC)","Ice_cream_IC","IC",4.84,0.1138,0.1091,26.5,0.37,0.386,0.083,0.531,0.28,0.53,29.8,502
14,"FAV.14","Mixed vegetable wastes","Mixed_vegetable_wastes","FAV",6.8,0.24,0.2234,8.15,0.49,0.0087,0.153,0.8383,0.99,8.55,14.81,425
15,"FAV.15","Mix fruit waste","Mix_fruit_waste","FAV",4.32,0.2036,0.1804,19.66,0.55,0.0021,0.031,0.9669,0.31,2.99,26.93,331
16,"FAV.16","Mixed fruit vegetables (MFV)","Mixed_fruit_vegetables_MFV","FAV",7.4,0.077,0.071,40,1.1,0.0031,0.1075,0.8925,0.33,2.8,36.36,425
17,"FAV.17","Assorted fruit rinds","Assorted_fruit_rinds","FAV",4.51,0.1716,0.1508,14.27,0.49,0.0024,0.0286,0.969,0.36,2.88,13.31,253
18,"FAV.18","Apple skin & flesh","Apple_skin__flesh","FAV",5.47,0.2765,0.2153,47.6,0.12,0.016,0.071,0.913,0.18,0.89,16.22,305
19,"FAV.19","Orange skin & flesh","Orange_skin__flesh","FAV",3.93,0.1532,0.1494,5.75,0.88,0.015,0.408,0.577,0.48,1.44,9.61,433
20,"FAV.20","Banana skin & flesh","Banana_skin__flesh","FAV",5.59,0.1812,0.1764,5.64,0.77,0.017,0.234,0.75,0.31,2.54,11.2,238
21,"FAV.21","Grapes","Grapes","FAV",4.3,0.1219,0.1039,6.63,0.88,0.0021,0.0549,0.943,1.15,3.16,17.61,552
22,"FAV.22","Lettuce and rotting lettuce","Lettuce_and_rotting_lettuce","FAV",7.44,0.0753,0.0619,41.7,0.05,0.091,0.409,0.5,1.34,10.45,16.48,296
23,"FAV.23","Potatoes","Potatoes","FAV",6.12,0.1192,0.1055,11.1,1.33,0.008,0.105,0.779,0.99,4.95,38.89,345
24,"FAV.24","Tomatoes","Tomatoes","FAV",4.44,0.0557,0.0549,4,0.05,0.048,0.286,0.667,1.23,3.41,18.39,476
25,"FAV.25","Cabbage","Cabbage","FAV",5.59,0.0786,0.072,46.8,0.56,0.014,0.178,0.808,0.04,0.09,7.96,256.5
26,"FAV.26","Onion/spring onion","Onion_spring_onion","FAV",7.5,0.1033,0.0801,38.4,0.47,0.011,0.336,0.653,0.95,2.18,7.47,480
27,"FAV.27","Pepper","Pepper","FAV",5.15,0.073,0.0647,4.46,0.52,0.056,0.167,0.778,1.09,4.16,22.47,430
28,"FAV.28","Spinach","Spinach","FAV",5.63,0.0869,0.0747,10.9,1.17,0.089,0.432,0.479,0.36,0.73,20.59,395
29,"FAV.29","Sweetcorn","Sweetcorn","FAV",6.82,0.2014,0.1622,8.02,0.4,0.075,0.137,0.787,0.52,1.22,18.65,514
30,"CCG.30","Confectionary (CCG)","Confectionary_CCG","CCG",5.72,0.2293,0.1843,17.38,1.24,0.0279,0.2438,0.7283,0.91,2.61,22.02,439
31,"FAV.31","Crushed and diced tomatoes","Crushed_and_diced_tomatoes","FAV",4.37,0.1005,0.096,3.8,0.05,0.047,0.256,0.698,1.52,3.45,24.87,435
32,"FAV.32","Green beans","Green_beans","FAV",5.55,0.2678,0.2067,11.4,3.77,0.027,0.323,0.65,0.7,2.99,21.86,495
33,"FAV.33","Bagged lettuce mixes","Bagged_lettuce_mixes","FAV",7.12,0.0642,0.0587,40.8,0.04,0.029,0.324,0.647,1.4,4.72,16.79,282
34,"FAV.34","Canned peas","Canned_peas","FAV",6.73,0.2546,0.1982,10.7,1.99,0.035,0.312,0.653,0.85,1.13,21.48,520
35,"FAV.35","Canned fruit","Canned_fruit","FAV",4.84,0.4593,0.3621,20.2,0.32,0.001,0.005,0.994,0.09,0.77,25.11,463
36,"CP.36","Breakfast cereals","Breakfast_cereals","CP",6.1,0.927,0.88,38.3,1.86,0.021,0.116,0.863,0.33,0.85,21.49,360
37,"CP.37","Corn flakes","Corn_flakes","CP",5.9,0.9195,0.7896,36.8,1.71,0.008,0.1108,0.8812,0.07,0.16,21.49,354
38,"CP.38","Cheerios","Cheerios","CP",5.13,0.9119,0.6996,41.3,1.52,0.0056,0.088,0.9064,1.39,0.47,26.14,547
39,"CP.39","Cereal bar","Cereal_bar","CP",6.77,0.9241,0.756,35.4,1.4,0.056,0.0772,0.8668,0.23,0.33,22.55,524
40,"CP.40","Quick oats","Quick_oats","CP",6.5,0.8997,0.7129,43.2,2.96,0.068,0.1534,0.7786,2.32,0.35,18.65,599
41,"CP.41","Oatmeal","Oatmeal","CP",6.8,0.9012,0.7225,44.3,2.63,0.071,0.126,0.803,0.65,0.54,16.89,594
42,"BW.42","White bread","White_bread","BW",4.98,0.8934,0.7125,47,1.91,0.004,0.109,0.887,0.5,0.13,21.36,507
