num,G.num,Food.Wastes,Food.Wastes.Clean,Group,pH,TS.Perc,VS.Perc,TOC,TKN,Fat.Perc,Protein.Perc,Carbohydrate.Perc,TP,TK,C.N.Mixture,BMP
1,DP.1+DP.2,Cheese_AND_Milk,Cheese_AND_Milk,DP+DP,0,0,0,0,0,0.194,0.2595,0.5465,0,0,0,0
2,DP.1+DP.3,Cheese_AND_Baby_milk,Cheese_AND_Baby_milk,DP+DP,0,0,0,0,0,0.235,0.14425,0.62075,0,0,0,0
3,DP.1+DP.4,Cheese_AND_Yogurt_yogurt_drink,Cheese_AND_Yogurt_yogurt_drink,DP+DP,0,0,0,0,0,0.1415,0.164,0.6945,0,0,0,0
4,DP.1+DP.5,Cheese_AND_Cottage_cheese,Cheese_AND_Cottage_cheese,DP+DP,0,0,0,0,0,0.2135,0.115,0.6715,0,0,0,0
5,DP.1+DP.6,Cheese_AND_Butter,Cheese_AND_Butter,DP+DP,0,0,0,0,0,0.533,0.10885,0.35815,0,0,0,0
6,DP.1+FOG.7,Cheese_AND_Vegetable_oil,Cheese_AND_Vegetable_oil,DP+FOG,0,0,0,0,0,0.616,0.0925,0.2915,0,0,0,0
7,DP.1+FOG.8,Cheese_AND_Used_vegetable_oil,Cheese_AND_Used_vegetable_oil,DP+FOG,0,0,0,0,0,0.616,0.0925,0.2915,0,0,0,0
8,DP.1+FOG.9,Cheese_AND_FOG_from_food_processing,Cheese_AND_FOG_from_food_processing,DP+FOG,0,0,0,0,0,0.615,0.0935,0.2915,0,0,0,0
9,DP.1+FOG.10,Cheese_AND_FOG_from_restaurant,Cheese_AND_FOG_from_restaurant,DP+FOG,0,0,0,0,0,0.6155,0.093,0.2915,0,0,0,0
10,DP.1+FOG.11,Cheese_AND_Suspended_FOG,Cheese_AND_Suspended_FOG,DP+FOG,0,0,0,0,0,0.616,0.0925,0.2915,0,0,0,0
11,DP.1+FOG.12,Cheese_AND_Settled_FOG,Cheese_AND_Settled_FOG,DP+FOG,0,0,0,0,0,0.616,0.0925,0.2915,0,0,0,0
12,DP.1+IC.13,Cheese_AND_Ice_cream_IC,Cheese_AND_Ice_cream_IC,DP+IC,0,0,0,0,0,0.309,0.134,0.557,0,0,0,0
13,DP.1+FAV.14,Cheese_AND_Mixed_vegetable_wastes,Cheese_AND_Mixed_vegetable_wastes,DP+FAV,0,0,0,0,0,0.12035,0.169,0.71065,0,0,0,0
14,DP.1+FAV.15,Cheese_AND_Mix_fruit_waste,Cheese_AND_Mix_fruit_waste,DP+FAV,0,0,0,0,0,0.11705,0.108,0.77495,0,0,0,0
15,DP.1+FAV.16,Cheese_AND_Mixed_fruit_vegetables_MFV,Cheese_AND_Mixed_fruit_vegetables_MFV,DP+FAV,0,0,0,0,0,0.11755,0.14625,0.73775,0,0,0,0
16,DP.1+FAV.17,Cheese_AND_Assorted_fruit_rinds,Cheese_AND_Assorted_fruit_rinds,DP+FAV,0,0,0,0,0,0.1172,0.1068,0.776,0,0,0,0
17,DP.1+FAV.18,Cheese_AND_Apple_skin__flesh,Cheese_AND_Apple_skin__flesh,DP+FAV,0,0,0,0,0,0.124,0.128,0.748,0,0,0,0
18,DP.1+FAV.19,Cheese_AND_Orange_skin__flesh,Cheese_AND_Orange_skin__flesh,DP+FAV,0,0,0,0,0,0.1235,0.2965,0.58,0,0,0,0
19,DP.1+FAV.20,Cheese_AND_Banana_skin__flesh,Cheese_AND_Banana_skin__flesh,DP+FAV,0,0,0,0,0,0.1245,0.2095,0.6665,0,0,0,0
20,DP.1+FAV.21,Cheese_AND_Grapes,Cheese_AND_Grapes,DP+FAV,0,0,0,0,0,0.11705,0.11995,0.763,0,0,0,0
21,DP.1+FAV.22,Cheese_AND_Lettuce_and_rotting_lettuce,Cheese_AND_Lettuce_and_rotting_lettuce,DP+FAV,0,0,0,0,0,0.1615,0.297,0.5415,0,0,0,0
22,DP.1+FAV.23,Cheese_AND_Potatoes,Cheese_AND_Potatoes,DP+FAV,0,0,0,0,0,0.12,0.145,0.681,0,0,0,0
23,DP.1+FAV.24,Cheese_AND_Tomatoes,Cheese_AND_Tomatoes,DP+FAV,0,0,0,0,0,0.14,0.2355,0.625,0,0,0,0
24,DP.1+FAV.25,Cheese_AND_Cabbage,Cheese_AND_Cabbage,DP+FAV,0,0,0,0,0,0.123,0.1815,0.6955,0,0,0,0
25,DP.1+FAV.26,Cheese_AND_Onion_spring_onion,Cheese_AND_Onion_spring_onion,DP+FAV,0,0,0,0,0,0.1215,0.2605,0.618,0,0,0,0
26,DP.1+FAV.27,Cheese_AND_Pepper,Cheese_AND_Pepper,DP+FAV,0,0,0,0,0,0.144,0.176,0.6805,0,0,0,0
27,DP.1+FAV.28,Cheese_AND_Spinach,Cheese_AND_Spinach,DP+FAV,0,0,0,0,0,0.1605,0.3085,0.531,0,0,0,0
28,DP.1+FAV.29,Cheese_AND_Sweetcorn,Cheese_AND_Sweetcorn,DP+FAV,0,0,0,0,0,0.1535,0.161,0.685,0,0,0,0
29,DP.1+CCG.30,Cheese_AND_Confectionary_CCG,Cheese_AND_Confectionary_CCG,DP+CCG,0,0,0,0,0,0.12995,0.2144,0.65565,0,0,0,0
30,DP.1+FAV.31,Cheese_AND_Crushed_and_diced_tomatoes,Cheese_AND_Crushed_and_diced_tomatoes,DP+FAV,0,0,0,0,0,0.1395,0.2205,0.6405,0,0,0,0
31,DP.1+FAV.32,Cheese_AND_Green_beans,Cheese_AND_Green_beans,DP+FAV,0,0,0,0,0,0.1295,0.254,0.6165,0,0,0,0
32,DP.1+FAV.33,Cheese_AND_Bagged_lettuce_mixes,Cheese_AND_Bagged_lettuce_mixes,DP+FAV,0,0,0,0,0,0.1305,0.2545,0.615,0,0,0,0
33,DP.1+FAV.34,Cheese_AND_Canned_peas,Cheese_AND_Canned_peas,DP+FAV,0,0,0,0,0,0.1335,0.2485,0.618,0,0,0,0
34,DP.1+FAV.35,Cheese_AND_Canned_fruit,Cheese_AND_Canned_fruit,DP+FAV,0,0,0,0,0,0.1165,0.095,0.7885,0,0,0,0
35,DP.1+CP.36,Cheese_AND_Breakfast_cereals,Cheese_AND_Breakfast_cereals,DP+CP,0,0,0,0,0,0.1265,0.1505,0.723,0,0,0,0
36,DP.1+CP.37,Cheese_AND_Corn_flakes,Cheese_AND_Corn_flakes,DP+CP,0,0,0,0,0,0.12,0.1479,0.7321,0,0,0,0
37,DP.1+CP.38,Cheese_AND_Cheerios,Cheese_AND_Cheerios,DP+CP,0,0,0,0,0,0.1188,0.1365,0.7447,0,0,0,0
38,DP.1+CP.39,Cheese_AND_Cereal_bar,Cheese_AND_Cereal_bar,DP+CP,0,0,0,0,0,0.144,0.1311,0.7249,0,0,0,0
39,DP.1+CP.40,Cheese_AND_Quick_oats,Cheese_AND_Quick_oats,DP+CP,0,0,0,0,0,0.15,0.1692,0.6808,0,0,0,0
40,DP.1+CP.41,Cheese_AND_Oatmeal,Cheese_AND_Oatmeal,DP+CP,0,0,0,0,0,0.1515,0.1555,0.693,0,0,0,0
41,DP.1+BW.42,Cheese_AND_White_bread,Cheese_AND_White_bread,DP+BW,0,0,0,0,0,0.118,0.147,0.735,0,0,0,0
42,DP.1+BW.43,Cheese_AND_Sliced_bread,Cheese_AND_Sliced_bread,DP+BW,0,0,0,0,0,0.11825,0.14615,0.7356,0,0,0,0
43,DP.1+BW.44,Cheese_AND_Flour,Cheese_AND_Flour,DP+BW,0,0,0,0,0,0.121,0.175,0.704,0,0,0,0
44,DP.1+BW.45,Cheese_AND_Sandwich,Cheese_AND_Sandwich,DP+BW,0,0,0,0,0,0.2075,0.1285,0.664,0,0,0,0
45,DP.1+BW.46,Cheese_AND_Crackers,Cheese_AND_Crackers,DP+BW,0,0,0,0,0,0.166,0.189,0.645,0,0,0,0
46,DP.1+MP.47,Cheese_AND_Mixed_meat,Cheese_AND_Mixed_meat,DP+MP,0,0,0,0,0,0.4321,0.21035,0.35755,0,0,0,0
47,DP.1+MP.48,Cheese_AND_Beef_cooked,Cheese_AND_Beef_cooked,DP+MP,0,0,0,0,0,0.4151,0.256,0.3289,0,0,0,0
48,DP.1+MP.49,Cheese_AND_Pork_cooked,Cheese_AND_Pork_cooked,DP+MP,0,0,0,0,0,0.39445,0.2356,0.37495,0,0,0,0
49,DP.1+MP.50,Cheese_AND_Chicken_cooked,Cheese_AND_Chicken_cooked,DP+MP,0,0,0,0,0,0.4525,0.2045,0.343,0,0,0,0
50,DP.1+MP.51,Cheese_AND_Lamb_cooked,Cheese_AND_Lamb_cooked,DP+MP,0,0,0,0,0,0.3884,0.2285,0.3831,0,0,0,0
51,DP.1+MP.52,Cheese_AND_Ham_scraps,Cheese_AND_Ham_scraps,DP+MP,0,0,0,0,0,0.41465,0.20185,0.3835,0,0,0,0
52,DP.1+MP.53,Cheese_AND_Sliced_meat,Cheese_AND_Sliced_meat,DP+MP,0,0,0,0,0,0.345,0.208,0.447,0,0,0,0
53,DP.1+MP.54,Cheese_AND_Offal,Cheese_AND_Offal,DP+MP,0,0,0,0,0,0.3953,0.20185,0.40285,0,0,0,0
54,DP.1+FP.55,Cheese_AND_canned_tuna_fish,Cheese_AND_canned_tuna_fish,DP+FP,0,0,0,0,0,0.42675,0.22485,0.3484,0,0,0,0
55,DP.1+FP.56,Cheese_AND_freeze_fish,Cheese_AND_freeze_fish,DP+FP,0,0,0,0,0,0.4313,0.24665,0.3221,0,0,0,0
56,DP.1+FP.57,Cheese_AND_fresh_fish,Cheese_AND_fresh_fish,DP+FP,0,0,0,0,0,0.41085,0.28465,0.3045,0,0,0,0
57,DP.1+FP.58,Cheese_AND_fish_flesh_salmon,Cheese_AND_fish_flesh_salmon,DP+FP,0,0,0,0,0,0.4224,0.21765,0.35995,0,0,0,0
58,DP.1+FP.59,Cheese_AND_Fish_and_shellfish,Cheese_AND_Fish_and_shellfish,DP+FP,0,0,0,0,0,0.527,0.1758,0.297,0,0,0,0
59,DP.1+EP.60,Cheese_AND_Whole_egg,Cheese_AND_Whole_egg,DP+EP,0,0,0,0,0,0.47525,0.18975,0.335,0,0,0,0
60,DP.1+EP.61,Cheese_AND_Cooked_eggs,Cheese_AND_Cooked_eggs,DP+EP,0,0,0,0,0,0.4441,0.2249,0.331,0,0,0,0
61,DP.1+EP.62,Cheese_AND_Pickled_eggs,Cheese_AND_Pickled_eggs,DP+EP,0,0,0,0,0,0.4991,0.1656,0.33375,0,0,0,0
62,DP.1+EP.63,Cheese_AND_Raw_eggs,Cheese_AND_Raw_eggs,DP+EP,0,0,0,0,0,0.5053,0.1697,0.325,0,0,0,0
63,DP.1+SSG.64,Cheese_AND_Sugar,Cheese_AND_Sugar,DP+SSG,0,0,0,0,0,0.116,0.1339,0.7501,0,0,0,0
64,DP.1+SSG.65,Cheese_AND_Sweet_cream,Cheese_AND_Sweet_cream,DP+SSG,0,0,0,0,0,0.386,0.1175,0.4965,0,0,0,0
65,DP.1+SSG.66,Cheese_AND_Chocolate_pudding,Cheese_AND_Chocolate_pudding,DP+SSG,0,0,0,0,0,0.14,0.12575,0.73425,0,0,0,0
66,DP.1+SSG.67,Cheese_AND_Cakes,Cheese_AND_Cakes,DP+SSG,0,0,0,0,0,0.2285,0.12195,0.64955,0,0,0,0
67,DP.1+SSG.68,Cheese_AND_Jelly,Cheese_AND_Jelly,DP+SSG,0,0,0,0,0,0.116,0.0968,0.7872,0,0,0,0
68,DP.1+SSG.69,Cheese_AND_Mousse,Cheese_AND_Mousse,DP+SSG,0,0,0,0,0,0.202,0.12845,0.66955,0,0,0,0
69,DP.1+SSG.70,"Cheese_AND_Other_dessert_wafers,etc.","Cheese_AND_Other_dessert_wafers,etc.",DP+SSG,0,0,0,0,0,0.191,0.128,0.681,0,0,0,0
70,DP.1+SS.71,Cheese_AND_Condiments,Cheese_AND_Condiments,DP+SS,0,0,0,0,0,0.1323,0.15085,0.71685,0,0,0,0
71,DP.1+SS.72,Cheese_AND_Canned_soup,Cheese_AND_Canned_soup,DP+SS,0,0,0,0,0,0.1184,0.1715,0.7101,0,0,0,0
72,DP.1+SS.73,Cheese_AND_Soup,Cheese_AND_Soup,DP+SS,0,0,0,0,0,0.1175,0.12495,0.759,0,0,0,0
73,DP.1+BEV.74,Cheese_AND_Cola_beverage,Cheese_AND_Cola_beverage,DP+BEV,0,0,0,0,0,0.117,0.096,0.787,0,0,0,0
74,DP.1+BEV.75,Cheese_AND_Tea_beverage,Cheese_AND_Tea_beverage,DP+BEV,0,0,0,0,0,0.1161,0.2075,0.6764,0,0,0,0
75,DP.1+BEV.76,Cheese_AND_Fruit_juices_orange,Cheese_AND_Fruit_juices_orange,DP+BEV,0,0,0,0,0,0.116,0.19855,0.6855,0,0,0,0
76,DP.1+RERW.77,Cheese_AND_Food_from_conference,Cheese_AND_Food_from_conference,DP+RERW,0,0,0,0,0,0.18705,0.1719,0.64105,0,0,0,0
77,DP.1+RERW.78,Cheese_AND_Food_from_hotel,Cheese_AND_Food_from_hotel,DP+RERW,0,0,0,0,0,0.337,0.225,0.438,0,0,0,0
78,DP.1+RERW.79,Cheese_AND_Piece_of_pizza,Cheese_AND_Piece_of_pizza,DP+RERW,0,0,0,0,0,0.149,0.216,0.635,0,0,0,0
79,DP.1+RERW.80,Cheese_AND_French_fries,Cheese_AND_French_fries,DP+RERW,0,0,0,0,0,0.264,0.1195,0.6165,0,0,0,0
80,DP.1+RERW.81,Cheese_AND_Gravy_tomato_sauce,Cheese_AND_Gravy_tomato_sauce,DP+RERW,0,0,0,0,0,0.1193,0.1198,0.7609,0,0,0,0
81,DP.1+OT.82,Cheese_AND_Plain_pasta,Cheese_AND_Plain_pasta,DP+OT,0,0,0,0,0,0.146,0.1625,0.6915,0,0,0,0
82,DP.1+OT.83,Cheese_AND_Meat_pasta,Cheese_AND_Meat_pasta,DP+OT,0,0,0,0,0,0.186,0.189,0.625,0,0,0,0
83,DP.1+OT.84,Cheese_AND_Rice,Cheese_AND_Rice,DP+OT,0,0,0,0,0,0.121,0.1325,0.7465,0,0,0,0
84,DP.1+OT.85,Cheese_AND_Cafeteria_wastes_CW,Cheese_AND_Cafeteria_wastes_CW,DP+OT,0,0,0,0,0,0.136,0.1775,0.6865,0,0,0,0
85,DP.1+OT.86,Cheese_AND_Tea,Cheese_AND_Tea,DP+OT,0,0,0,0,0,0.11605,0.2095,0.67445,0,0,0,0
86,DP.1+OT.87,Cheese_AND_Spent_coffee_grounds,Cheese_AND_Spent_coffee_grounds,DP+OT,0,0,0,0,0,0.4166,0.2919,0.2915,0,0,0,0
87,DP.1+OT.88,Cheese_AND_Chocolate,Cheese_AND_Chocolate,DP+OT,0,0,0,0,0,0.284,0.13495,0.58105,0,0,0,0
88,DP.2+DP.3,Milk_AND_Baby_milk,Milk_AND_Baby_milk,DP+DP,0,0,0,0,0,0.197,0.21875,0.58425,0,0,0,0
89,DP.2+DP.4,Milk_AND_Yogurt_yogurt_drink,Milk_AND_Yogurt_yogurt_drink,DP+DP,0,0,0,0,0,0.1035,0.2385,0.658,0,0,0,0
90,DP.2+DP.5,Milk_AND_Cottage_cheese,Milk_AND_Cottage_cheese,DP+DP,0,0,0,0,0,0.1755,0.1895,0.635,0,0,0,0
91,DP.2+DP.6,Milk_AND_Butter,Milk_AND_Butter,DP+DP,0,0,0,0,0,0.495,0.18335,0.32165,0,0,0,0
92,DP.2+FOG.7,Milk_AND_Vegetable_oil,Milk_AND_Vegetable_oil,DP+FOG,0,0,0,0,0,0.578,0.167,0.255,0,0,0,0
93,DP.2+FOG.8,Milk_AND_Used_vegetable_oil,Milk_AND_Used_vegetable_oil,DP+FOG,0,0,0,0,0,0.578,0.167,0.255,0,0,0,0
94,DP.2+FOG.9,Milk_AND_FOG_from_food_processing,Milk_AND_FOG_from_food_processing,DP+FOG,0,0,0,0,0,0.577,0.168,0.255,0,0,0,0
95,DP.2+FOG.10,Milk_AND_FOG_from_restaurant,Milk_AND_FOG_from_restaurant,DP+FOG,0,0,0,0,0,0.5775,0.1675,0.255,0,0,0,0
96,DP.2+FOG.11,Milk_AND_Suspended_FOG,Milk_AND_Suspended_FOG,DP+FOG,0,0,0,0,0,0.578,0.167,0.255,0,0,0,0
97,DP.2+FOG.12,Milk_AND_Settled_FOG,Milk_AND_Settled_FOG,DP+FOG,0,0,0,0,0,0.578,0.167,0.255,0,0,0,0
98,DP.2+IC.13,Milk_AND_Ice_cream_IC,Milk_AND_Ice_cream_IC,DP+IC,0,0,0,0,0,0.271,0.2085,0.5205,0,0,0,0
99,DP.2+FAV.14,Milk_AND_Mixed_vegetable_wastes,Milk_AND_Mixed_vegetable_wastes,DP+FAV,0,0,0,0,0,0.08235,0.2435,0.67415,0,0,0,0
100,DP.2+FAV.15,Milk_AND_Mix_fruit_waste,Milk_AND_Mix_fruit_waste,DP+FAV,0,0,0,0,0,0.07905,0.1825,0.73845,0,0,0,0
101,DP.2+FAV.16,Milk_AND_Mixed_fruit_vegetables_MFV,Milk_AND_Mixed_fruit_vegetables_MFV,DP+FAV,0,0,0,0,0,0.07955,0.22075,0.70125,0,0,0,0
102,DP.2+FAV.17,Milk_AND_Assorted_fruit_rinds,Milk_AND_Assorted_fruit_rinds,DP+FAV,0,0,0,0,0,0.0792,0.1813,0.7395,0,0,0,0
103,DP.2+FAV.18,Milk_AND_Apple_skin__flesh,Milk_AND_Apple_skin__flesh,DP+FAV,0,0,0,0,0,0.086,0.2025,0.7115,0,0,0,0
104,DP.2+FAV.19,Milk_AND_Orange_skin__flesh,Milk_AND_Orange_skin__flesh,DP+FAV,0,0,0,0,0,0.0855,0.371,0.5435,0,0,0,0
105,DP.2+FAV.20,Milk_AND_Banana_skin__flesh,Milk_AND_Banana_skin__flesh,DP+FAV,0,0,0,0,0,0.0865,0.284,0.63,0,0,0,0
106,DP.2+FAV.21,Milk_AND_Grapes,Milk_AND_Grapes,DP+FAV,0,0,0,0,0,0.07905,0.19445,0.7265,0,0,0,0
107,DP.2+FAV.22,Milk_AND_Lettuce_and_rotting_lettuce,Milk_AND_Lettuce_and_rotting_lettuce,DP+FAV,0,0,0,0,0,0.1235,0.3715,0.505,0,0,0,0
108,DP.2+FAV.23,Milk_AND_Potatoes,Milk_AND_Potatoes,DP+FAV,0,0,0,0,0,0.082,0.2195,0.6445,0,0,0,0
109,DP.2+FAV.24,Milk_AND_Tomatoes,Milk_AND_Tomatoes,DP+FAV,0,0,0,0,0,0.102,0.31,0.5885,0,0,0,0
110,DP.2+FAV.25,Milk_AND_Cabbage,Milk_AND_Cabbage,DP+FAV,0,0,0,0,0,0.085,0.256,0.659,0,0,0,0
111,DP.2+FAV.26,Milk_AND_Onion_spring_onion,Milk_AND_Onion_spring_onion,DP+FAV,0,0,0,0,0,0.0835,0.335,0.5815,0,0,0,0
