"time","q_in","S_ch4","S_IC","S_IN","S_h2o","X_ch","X_pr","X_li","X_bac","S_gas_ch4","S_gas_co2"
0,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
10,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
20,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
30,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
40,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
50,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
60,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
70,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
80,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
90,100,0,0,0,960.5118,1.03,2.24,6.73,0,0,0
